City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Sandpoint,US,48.2766,-116.5533,37.98,80,0,0.0,clear sky
119,Kutum,SD,14.2,24.6667,95.45,7,3,8.08,clear sky
120,Uglekamensk,RU,43.2172,133.2303,39.94,91,99,3.71,overcast clouds
121,Provideniya,RU,64.3833,-173.3,-1.82,99,100,4.21,overcast clouds
122,Gacko,BA,43.1672,18.5353,50.34,82,95,7.0,overcast clouds
123,Chapais,CA,49.7834,-74.8492,31.78,98,100,11.72,light snow
124,Isangel,VU,-19.55,169.2667,80.96,84,100,9.17,overcast clouds
125,Awjilah,LY,29.1081,21.2869,79.74,20,0,11.72,clear sky
126,Carnarvon,AU,-24.8667,113.6333,77.07,61,100,14.97,overcast clouds
127,Ankang,CN,32.68,109.0172,70.07,42,7,3.24,clear sky
128,Ancud,CL,-41.8697,-73.8203,50.23,80,50,2.15,scattered clouds
129,Saint-Joseph,RE,-21.3667,55.6167,77.38,81,60,14.29,broken clouds
130,Dawei,MM,14.0833,98.2,80.96,65,100,1.66,overcast clouds
131,Kaitangata,NZ,-46.2817,169.8464,50.41,70,60,9.93,broken clouds
132,Juneau,US,58.3019,-134.4197,38.21,97,100,0.0,mist
133,Cherskiy,RU,68.75,161.3,-24.63,97,5,4.45,clear sky
134,Tautira,PF,-17.7333,-149.15,80.44,78,90,17.4,light rain
135,Moerai,PF,-22.4333,-151.3333,80.71,77,1,12.28,clear sky
136,Tambacounda,SN,13.7539,-13.7586,106.75,8,5,12.53,clear sky
137,Shirokiy,RU,49.758,129.523,23.88,98,35,5.68,scattered clouds
138,Touros,BR,-5.1989,-35.4608,83.26,75,60,13.62,broken clouds
139,Borogontsy,RU,62.6683,131.1683,10.45,94,73,4.23,broken clouds
140,Cayenne,GF,4.9333,-52.3333,82.44,78,75,10.36,broken clouds
141,Mana,GF,5.6592,-53.7767,77.45,89,100,10.2,overcast clouds
142,Pisco,PE,-13.7,-76.2167,66.25,88,97,8.05,overcast clouds
143,Muros,ES,42.7762,-9.0603,61.09,86,100,7.94,overcast clouds
144,Krasnoselkup,RU,65.7,82.4667,10.2,94,91,9.33,overcast clouds
145,Manaus,BR,-3.1019,-60.025,81.09,89,75,5.75,broken clouds
146,Qaqortoq,GL,60.7167,-46.0333,28.9,74,11,4.34,few clouds
147,Bethel,US,41.3712,-73.414,50.52,92,100,9.22,mist
148,Cidreira,BR,-30.1811,-50.2056,67.82,81,100,13.71,overcast clouds
149,Sorong,ID,-0.8833,131.25,81.79,78,100,6.87,overcast clouds
150,Bathsheba,BB,13.2167,-59.5167,83.01,69,75,18.41,broken clouds
151,Thompson,CA,55.7435,-97.8558,14.16,85,0,2.3,clear sky
152,Qaanaaq,GL,77.484,-69.3632,-4.81,70,15,7.4,few clouds
153,Muravlenko,RU,63.7898,74.523,10.58,91,100,11.05,overcast clouds
154,Luderitz,NA,-26.6481,15.1594,75.24,46,0,16.6,clear sky
155,Jumla,NP,29.2747,82.1838,55.85,41,54,5.3,broken clouds
156,Bubaque,GW,11.2833,-15.8333,78.22,67,33,5.3,scattered clouds
157,Kashi,CN,39.4547,75.9797,85.21,7,75,8.95,broken clouds
158,Warwick,US,41.7001,-71.4162,55.36,92,100,11.5,light intensity drizzle
159,Labytnangi,RU,66.6572,66.4183,12.49,96,100,5.44,overcast clouds
160,Faanui,PF,-16.4833,-151.75,81.14,77,100,17.76,light rain
161,Lorengau,PG,-2.0226,147.2712,79.77,88,100,12.44,moderate rain
162,Kalemie,CD,-5.9475,29.1947,78.87,68,69,5.08,broken clouds
163,Kosa,RU,59.9445,54.9977,34.95,90,100,5.41,overcast clouds
164,Hjallerup,DK,57.1647,10.1457,39.81,72,75,13.8,broken clouds
165,Kjollefjord,NO,70.9457,27.3465,33.85,69,0,12.66,clear sky
166,Praya,CV,14.9215,-23.5087,82.94,42,20,23.02,few clouds
167,Anchorage,US,61.2181,-149.9003,33.37,83,75,5.75,broken clouds
168,Igrim,RU,63.1906,64.4162,24.69,89,100,5.06,overcast clouds
169,Rawson,AR,-43.3002,-65.1023,55.69,100,75,2.3,broken clouds
170,Hollins,US,37.3413,-79.9431,47.07,77,20,1.99,few clouds
171,Harper,LR,4.375,-7.7169,86.36,66,98,7.87,overcast clouds
172,Goryachegorsk,RU,55.4053,88.9154,34.65,77,100,6.87,overcast clouds
173,Gamboma,CG,-1.8764,15.8644,94.77,39,40,3.83,scattered clouds
174,Deputatskiy,RU,69.3,139.9,-3.37,100,100,2.75,overcast clouds
175,Kentau,KZ,43.5206,68.5094,68.58,44,100,14.94,overcast clouds
176,Machico,PT,32.7,-16.7667,68.0,71,20,5.75,few clouds
177,Itarema,BR,-2.9248,-39.9167,82.78,75,97,10.11,light rain
178,Imbituba,BR,-28.24,-48.6703,73.81,88,100,10.0,heavy intensity rain
179,Sisimiut,GL,66.9395,-53.6735,14.4,82,100,6.02,overcast clouds
180,Dunedin,NZ,-45.8742,170.5036,53.8,68,92,5.01,overcast clouds
181,Neuquen,AR,-38.9516,-68.0591,53.49,87,0,0.0,clear sky
182,Shitanjing,CN,39.2342,106.3439,60.37,12,0,4.97,clear sky
183,Komsomolskiy,UZ,40.4272,71.7189,81.32,22,100,2.3,overcast clouds
184,Nantucket,US,41.2835,-70.0995,51.94,98,100,20.71,fog
185,Chumikan,RU,54.7183,135.315,9.82,96,97,3.85,overcast clouds
186,Saskylakh,RU,71.9167,114.0833,-7.46,100,54,3.29,broken clouds
187,Bridlington,GB,54.0831,-0.1919,49.28,72,93,11.99,overcast clouds
188,Bilma,NE,18.6853,12.9164,105.89,4,5,5.46,clear sky
189,Berdigestyakh,RU,62.0989,126.6992,14.86,93,88,4.9,overcast clouds
190,Omboue,GA,-1.5746,9.2618,85.77,70,59,11.81,light rain
191,Pedernales,DO,18.0384,-71.744,80.2,57,25,2.46,scattered clouds
192,Chuy,UY,-33.6971,-53.4616,72.34,67,4,8.08,clear sky
193,Leningradskiy,RU,69.3833,178.4167,-9.9,96,100,9.55,overcast clouds
194,Pringsewu,ID,-5.3582,104.9744,76.14,85,98,7.36,overcast clouds
195,Antofagasta,CL,-23.65,-70.4,66.99,70,3,3.89,clear sky
196,Alyangula,AU,-13.8483,136.4192,73.27,94,100,0.0,overcast clouds
197,Tukrah,LY,32.5341,20.5791,65.43,62,0,9.86,clear sky
198,Caravelas,BR,-17.7125,-39.2481,83.03,68,10,4.88,clear sky
199,Kemin,KG,42.7846,75.6892,64.09,52,94,4.0,overcast clouds
200,Storforshei,NO,66.4043,14.5233,36.66,43,75,4.61,broken clouds
201,Wajid,SO,3.8093,43.2471,97.03,23,99,13.38,overcast clouds
202,Luba,GQ,3.4568,8.5547,82.63,80,99,7.76,light rain
203,Ganzhou,CN,28.8184,115.4327,69.76,51,0,1.83,clear sky
204,Kaeo,NZ,-35.1,173.7833,56.32,91,5,6.31,clear sky
205,Siniscola,IT,40.5719,9.6922,72.95,38,17,13.96,few clouds
206,Roma,US,43.2128,-75.4557,44.82,98,100,6.91,overcast clouds
207,Gubkinskiy,RU,64.434,76.5026,8.26,93,86,9.8,overcast clouds
208,Tigil,RU,57.8,158.6667,17.55,97,100,2.21,overcast clouds
209,Cabatuan,PH,10.8794,122.486,74.53,93,100,10.96,overcast clouds
210,Tual,ID,-5.6667,132.75,84.34,68,100,8.84,overcast clouds
211,Airai,TL,-8.9266,125.4092,59.92,88,100,2.8,overcast clouds
212,Hirara,JP,24.8,125.2833,70.77,67,4,20.38,clear sky
213,Fairbanks,US,64.8378,-147.7164,18.61,70,75,14.97,broken clouds
214,Rawicz,PL,51.6095,16.8585,53.15,83,100,1.01,overcast clouds
215,Ubatuba,BR,-23.4339,-45.0711,79.23,73,47,3.67,scattered clouds
216,Bose,IT,45.4612,8.0137,70.29,46,15,5.46,few clouds
217,Ashland,US,40.8167,-82.2665,39.27,87,100,10.94,overcast clouds
218,Crotone,IT,39.0851,17.1178,73.35,49,0,10.36,clear sky
219,Payo,ID,-3.7508,103.6372,72.46,98,100,2.08,overcast clouds
220,Katsuura,JP,35.1333,140.3,59.38,68,31,14.32,scattered clouds
221,Changping,CN,40.2186,116.2197,60.44,31,0,4.07,clear sky
222,Coahuayana,MX,18.7333,-103.6833,66.18,81,21,3.36,few clouds
223,Namatanai,PG,-3.6667,152.4333,76.37,94,100,6.96,moderate rain
224,Tahe,CN,52.3333,124.7333,22.84,96,91,1.68,overcast clouds
225,Balteni,RO,46.6667,27.6167,66.45,36,2,16.37,clear sky
226,Lompoc,US,34.6391,-120.4579,65.12,67,0,6.91,clear sky
227,Ugoofaaru,MV,5.6667,73.0,85.32,64,28,5.99,scattered clouds
228,Vardo,NO,70.3705,31.1107,33.49,77,100,23.85,overcast clouds
229,Berlevag,NO,70.8578,29.0864,35.55,64,20,10.36,few clouds
230,Sakakah,SA,29.9697,40.2064,99.97,6,100,15.46,overcast clouds
231,Bonga,ET,7.2833,36.2333,83.44,25,100,5.75,overcast clouds
232,Mantua,IT,45.1667,10.7833,73.09,56,100,4.0,overcast clouds
233,Kerrobert,CA,51.9168,-109.1348,33.85,63,99,16.15,overcast clouds
234,Palmer,US,42.1584,-72.3287,48.25,87,100,8.05,mist
235,Manica,FR,49.0,-1.1667,39.11,97,100,14.03,overcast clouds
236,Pinega,RU,64.7001,43.3936,35.62,86,100,11.21,overcast clouds
237,Jutai,BR,-5.1833,-68.9,75.47,95,98,1.74,overcast clouds
238,Torbay,CA,47.6666,-52.7314,39.88,90,100,10.36,overcast clouds
239,Kuzino,RU,57.0224,59.4412,35.91,85,99,4.68,overcast clouds
240,Bandiagara,ML,14.3501,-3.6104,107.73,7,3,10.78,clear sky
241,Manono,CD,-7.3,27.4167,84.02,65,99,1.43,light rain
242,Arlit,NE,18.7369,7.3853,107.82,3,100,4.56,overcast clouds
243,Xuddur,SO,4.1213,43.8894,94.62,25,96,11.68,overcast clouds
244,Oliver,CA,49.1831,-119.5524,52.05,57,100,4.61,overcast clouds
245,Tuktoyaktuk,CA,69.4541,-133.0374,6.75,98,100,6.38,overcast clouds
246,Dingle,PH,10.9995,122.6711,75.15,93,100,8.25,light rain
247,Ziyang,CN,29.2497,117.8547,63.09,53,0,3.38,clear sky
248,Usinsk,RU,65.9939,57.5281,20.86,82,85,4.32,overcast clouds
249,Bambari,CF,5.768,20.6757,97.57,29,6,6.4,clear sky
250,Iqaluit,CA,63.7506,-68.5145,20.93,86,100,10.36,light snow
251,Ilulissat,GL,69.2167,-51.1,17.62,79,75,6.91,light shower snow
252,Sillamae,EE,59.3997,27.7547,42.51,83,100,14.0,overcast clouds
253,Matay,EG,28.419,30.7792,92.98,14,0,17.78,clear sky
254,Nogliki,RU,51.8333,143.1667,20.01,85,19,9.37,few clouds
255,Lasa,IT,46.6166,10.7002,63.7,84,95,6.96,overcast clouds
256,Pevek,RU,69.7008,170.3133,-25.78,98,60,2.75,broken clouds
257,Tirumullaivasal,IN,11.2333,79.8333,84.34,69,100,11.86,overcast clouds
258,Namie,JP,37.4833,141.0,44.71,78,0,6.06,clear sky
259,Katangli,RU,51.7102,143.2326,19.49,87,19,9.82,few clouds
260,Mingguang,CN,32.7802,117.9638,68.11,48,0,9.86,clear sky
261,Miandrivazo,MG,-19.5167,45.4667,92.03,43,1,3.89,clear sky
262,Kollam,IN,8.8833,76.6,81.61,79,100,6.42,heavy intensity rain
263,Hamada,JP,34.8833,132.0833,51.96,64,0,5.46,clear sky
264,Araguaina,BR,-7.1911,-48.2072,82.06,70,79,4.92,broken clouds
265,Itaituba,BR,-4.2761,-55.9836,82.56,83,40,4.61,scattered clouds
266,Ambilobe,MG,-13.2,49.05,79.59,87,100,3.06,moderate rain
267,Bergen,NO,60.392,5.328,45.16,37,0,17.27,clear sky
268,Leh,IN,34.1667,77.5833,36.81,39,0,4.56,clear sky
269,Sitka,US,57.0531,-135.33,37.29,87,75,0.0,broken clouds
270,Longyearbyen,SJ,78.2186,15.6401,13.84,67,0,10.36,clear sky
271,Vestmannaeyjar,IS,63.4427,-20.2734,32.99,55,0,9.22,clear sky
272,Sembakung,ID,3.8167,117.25,75.96,95,94,0.49,overcast clouds
273,Nago,JP,26.5881,127.9761,70.65,72,6,11.27,clear sky
274,Kieta,PG,-6.2167,155.6333,79.16,85,100,4.36,light rain
275,Salinopolis,BR,-0.6136,-47.3561,76.24,93,100,11.07,overcast clouds
276,Darhan,MN,49.4867,105.9228,50.47,39,100,5.17,overcast clouds
277,Buchanan,LR,5.8808,-10.0467,86.11,71,100,8.61,overcast clouds
278,Roald,NO,62.5833,6.1333,38.91,75,40,3.44,scattered clouds
279,Kumluca,TR,36.3703,30.2869,69.3,60,6,3.24,clear sky
280,Nome,US,64.5011,-165.4064,1.47,78,100,9.22,light snow
281,Maarianhamina,AX,60.0973,19.9348,35.46,87,100,20.71,overcast clouds
282,Chokurdakh,RU,70.6333,147.9167,-12.24,93,97,10.22,overcast clouds
283,Sistranda,NO,63.7256,8.834,37.36,54,78,16.82,broken clouds
284,Chisec,GT,15.8167,-90.2833,77.23,97,100,0.98,overcast clouds
285,Namibe,AO,-15.1961,12.1522,77.63,65,20,13.8,few clouds
286,Lohardaga,IN,23.4333,84.6833,87.64,7,0,7.45,clear sky
287,Huntingdon,GB,52.3305,-0.1865,52.79,59,100,3.0,overcast clouds
288,Ipixuna,BR,-1.7625,-48.8043,80.02,84,64,4.54,broken clouds
289,Lowestoft,GB,52.4752,1.7516,52.09,68,100,15.19,overcast clouds
290,Kamenka,RU,51.3223,42.7678,60.76,43,19,16.4,few clouds
291,Salalah,OM,17.0151,54.0924,86.09,66,0,16.11,clear sky
292,Kilimatinde,TZ,-5.85,34.95,86.52,34,7,9.13,clear sky
293,Pyapon,MM,16.2833,95.6833,83.48,66,44,9.06,scattered clouds
294,Ormara,PK,25.2088,64.6357,84.42,55,15,23.29,few clouds
295,Westerland,DE,54.9079,8.3033,44.02,75,40,19.57,scattered clouds
296,Esna,EG,25.2934,32.554,105.82,4,0,6.6,clear sky
297,Kasongo,CD,-4.45,26.6667,85.21,55,20,5.14,few clouds
298,Kaniama,CD,-7.5667,24.1833,84.78,51,85,2.44,overcast clouds
299,Larsnes,NO,62.2028,5.5773,37.81,85,100,9.31,overcast clouds
300,Souillac,MU,-20.5167,57.5167,77.38,94,75,14.97,light rain
301,Itoman,JP,26.1247,127.6694,70.57,70,75,11.5,broken clouds
302,Achalpur,IN,21.2572,77.5086,100.72,10,8,5.55,clear sky
303,Molepolole,BW,-24.4066,25.4951,73.54,43,100,18.01,overcast clouds
304,Husavik,IS,66.0449,-17.3389,27.68,74,100,4.0,overcast clouds
305,Ayagoz,KZ,47.9714,80.4392,45.39,64,5,7.16,clear sky
306,Agirish,RU,61.9247,63.0231,29.88,90,100,3.09,overcast clouds
307,Suntar,RU,62.1444,117.6319,17.02,93,100,4.47,overcast clouds
308,Vilyuysk,RU,63.7553,121.6247,22.89,97,100,5.23,overcast clouds
309,Teguise,ES,29.0605,-13.564,68.22,53,75,17.27,broken clouds
310,Abhar,IR,36.1468,49.218,71.83,22,93,31.18,overcast clouds
311,Basoko,CD,1.2391,23.616,73.65,90,100,3.62,overcast clouds
312,Aras,ES,42.5617,-2.356,61.21,36,20,18.41,few clouds
313,Faya,SA,18.3851,42.4509,82.51,12,0,0.92,clear sky
314,Inuvik,CA,68.3499,-133.7218,21.96,58,20,9.22,few clouds
315,Skelleftea,SE,64.7507,20.9528,33.01,69,100,17.27,overcast clouds
316,Klimovo,RU,52.3805,32.1923,49.44,82,100,16.84,overcast clouds
317,Beringovskiy,RU,63.05,179.3167,-10.37,99,52,4.23,broken clouds
318,Biltine,TD,14.5333,20.9167,105.58,5,6,4.92,clear sky
319,Huaral,PE,-11.495,-77.2078,69.64,80,83,4.43,broken clouds
320,Sobolevo,RU,54.4299,31.8996,45.3,93,100,13.62,overcast clouds
321,Maridi,SS,4.9158,29.4742,93.7,28,100,7.36,overcast clouds
322,Hofn,IS,64.2539,-15.2082,35.62,35,0,12.66,clear sky
323,Tourlaville,FR,49.6383,-1.5664,45.12,93,100,14.97,overcast clouds
324,Kenitra,MA,34.261,-6.5802,65.16,55,27,11.21,scattered clouds
325,Tibati,CM,6.4667,12.6333,100.78,19,23,6.91,few clouds
326,Khandyga,RU,62.6667,135.6,6.12,99,78,1.68,broken clouds
327,Ouadda,CF,8.0777,22.4007,99.86,15,100,7.2,overcast clouds
328,Izmir,TR,38.4622,27.0923,72.91,38,20,16.11,few clouds
329,Iranshahr,IR,27.2025,60.6848,98.94,8,0,20.71,sand
330,Clermont,FR,49.5,2.4167,40.71,100,100,10.16,overcast clouds
331,Balaguer,ES,41.7912,0.8109,69.15,44,15,16.8,few clouds
332,Mucurapo,TT,10.6667,-61.5333,88.12,62,36,1.01,scattered clouds
333,Kavaratti,IN,10.5669,72.642,84.79,68,97,5.12,overcast clouds
334,Opuwo,NA,-18.0607,13.84,88.02,25,0,6.49,clear sky
335,Kaputa,ZM,-8.4689,29.6619,77.72,71,70,3.6,light rain
336,Mishkino,RU,55.3389,63.9175,33.01,99,86,5.46,overcast clouds
337,Batangafo,CF,7.3008,18.2833,101.5,21,98,7.38,overcast clouds
338,Shingu,JP,33.7333,135.9833,54.36,75,0,5.03,clear sky
339,Lyuban,BY,52.7985,28.0048,51.03,61,88,19.24,overcast clouds
340,Saint-Pierre,RE,-21.3393,55.4781,80.28,73,75,16.11,broken clouds
341,Oistins,BB,13.0667,-59.5333,82.49,69,75,18.41,broken clouds
342,Naze,JP,28.3667,129.4833,63.52,63,0,6.71,clear sky
343,Pitimbu,BR,-7.4706,-34.8086,81.19,73,74,10.27,broken clouds
344,Carolina,PR,18.3808,-65.9574,80.53,77,75,6.91,broken clouds
345,Beni,CD,0.5,29.4667,71.19,77,100,6.53,light rain
346,Kudahuvadhoo,MV,2.6708,72.8944,83.75,71,100,6.33,overcast clouds
347,Horsham,GB,51.064,-0.3272,53.11,60,75,4.61,broken clouds
