city_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Bogovarovo,RU,2022-04-03 15:28:04,58.9785,47.0246,29.53,93,98,8.34
125,Hithadhoo,MV,2022-04-03 15:28:05,-0.6,73.0833,83.75,69,25,5.53
126,Lamar,US,2022-04-03 15:28:05,33.6668,-95.5836,67.24,55,0,12.66
127,Cape Town,ZA,2022-04-03 15:26:39,-33.9258,18.4232,75.11,65,40,12.66
128,Grindavik,IS,2022-04-03 15:28:06,63.8424,-22.4338,43.27,87,75,19.57
129,Havelock,US,2022-04-03 15:28:06,34.8791,-76.9013,69.75,48,0,17.27
130,Verkhoyansk,RU,2022-04-03 15:28:07,67.5447,133.385,-3.59,100,96,2.01
131,Tual,ID,2022-04-03 15:28:07,-5.6667,132.75,82.42,66,26,5.99
132,Clyde River,CA,2022-04-03 15:28:07,70.4692,-68.5914,10.63,92,20,8.05
133,Kosa,RU,2022-04-03 15:28:08,59.9445,54.9977,36.7,100,100,11.63
134,Apricena,IT,2022-04-03 15:29:17,41.7839,15.4437,50.09,57,80,6.58
135,Abalak,RU,2022-04-03 15:29:18,58.1286,68.5944,32.79,98,100,13.38
136,Ornskoldsvik,SE,2022-04-03 15:29:18,63.2909,18.7153,36.55,55,75,8.05
137,Lebu,CL,2022-04-03 15:29:18,-37.6167,-73.65,55.31,59,7,9.78
138,Luderitz,NA,2022-04-03 15:29:19,-26.6481,15.1594,65.75,74,0,13.35
139,Ponta Do Sol,PT,2022-04-03 15:29:20,32.6667,-17.1,61.72,85,100,11.63
140,Hobyo,SO,2022-04-03 15:29:20,5.3505,48.5268,82.8,71,8,10.38
141,Georgetown,MY,2022-04-03 15:29:20,5.4112,100.3354,78.73,93,20,1.14
142,Dharmadam,IN,2022-04-03 15:29:21,11.7833,75.4333,82.54,78,25,5.61
143,Airai,TL,2022-04-03 15:29:21,-8.9266,125.4092,58.41,86,95,1.3
144,Villa Carlos Paz,AR,2022-04-03 15:29:22,-31.4241,-64.4978,78.06,25,0,8.01
145,Kyra,RU,2022-04-03 15:29:22,49.5776,111.9753,31.96,66,83,5.5
146,Khatanga,RU,2022-04-03 15:27:52,71.9667,102.5,-21.51,100,98,5.61
147,Victor Harbor,AU,2022-04-03 15:29:23,-35.5667,138.6167,58.01,89,11,6.06
148,Hofn,IS,2022-04-03 15:29:23,64.2539,-15.2082,42.82,87,100,5.75
149,Amapa,BR,2022-04-03 15:29:24,1.0,-52.0,79.27,89,100,3.36
150,Port Hedland,AU,2022-04-03 15:27:58,-20.3167,118.5667,82.45,78,0,9.22
151,Milici,BA,2022-04-03 15:29:24,44.1711,19.0903,36.77,62,100,8.61
152,Flinders,AU,2022-04-03 15:29:25,-34.5833,150.8552,62.38,73,75,4.0
153,East London,ZA,2022-04-03 15:24:37,-33.0153,27.9116,76.14,78,0,14.97
154,Kuala Sungai Baru,MY,2022-04-03 15:29:25,2.3594,102.0353,77.04,83,100,8.57
155,Samarai,PG,2022-04-03 15:29:26,-10.6167,150.6667,80.64,77,100,6.93
156,Yerbogachen,RU,2022-04-03 15:29:26,61.2767,108.0108,9.88,97,99,5.73
